AD Delta-P SP (psi),AD ROP SP (ft/hr),AD Torque SP (kft·lbf),AD WOB SP (klb),Accum Trip In (bbl),Accum Trip Out (bbl),Annular Velocity (ft/min),BHA Length (ft),Bit MSE (psi),Bit Position (ft),Bit RPM (RPM),Bit Size (in),Bit Time (hr),Bit Weight (klb),Block Height (ft),Bttm Pipe Temp (°F),Casing Pressure (psi),Circulating Hrs (hr),Co. Man G/L (bbl),Cont Az (deg),Cont Inc (deg),DateTime,Depth of Cut (ft),Depth(ft),Diff Press (psi),East West Horizontal (ft),Flow Deviation (%),Flow In Rate (galUS/min),Flow Out Percent (%),G/L Rate - 1 Min (bbl/min),G/L Rate - 5 Min (bbl/min),Gain Loss (bbl),Gain Loss - Spare (bbl),Gamma Depth (ft),Gamma Ray (offset) (API),Hole Depth (ft),Hook Load (klb),Lst Jnt Time (s),ML Mud Temp IN (°F),ML Mud Temp OUT (°F),MSE Downhole (psi),MSE Total (psi),Mud Motor RPM (RPM),Mud Motor Torque (ft·lbf),Mud Temp In (°F),Mud Temp Out (°F),Mud Volume (bbl),Mud Weight In (lb/galUS),North South Horizontal (ft),Pipe Length (ft),Pump Pressure (psi),Pump SPM - Total (SPM),Pump SPM 1 (SPM),Pump SPM 2 (SPM),Pump SPM 3 (SPM),ROP - Average (ft/hr),ROP - Cut Unit (ft/hr),ROP - Fast (ft/hr),Rotary RPM (RPM),Rotary Torque (A),Run Jnt Time (s),Strks - Acc Fill (strokes),Strks - Fill (strokes),Strks - Pump 1 (strokes),Strks - Pump 2 (strokes),Strks - Pump 3 (strokes),Strks - Total (strokes),Suction 1 Pit 9 (bbl),Suction 2 Pit 10 (bbl),Suction 3 Pit 11 (bbl),Surface MSE wMotor (psi),Svy Azimuth (deg),Svy Depth (ft),Svy Inclination (deg),Time On Bottom (hr),Time On Job (hr),Time On Slip (s),Top Drive RPM (RPM),Top Drive Torque (kft·lbf),Total Gas (ML) (lagged) (1%=100 Units),Total Rotations on DP (),Total Trip Volume (bbl),Trip Tank 1 (bbl),Trip Tank 2 (bbl),Trip Tank GL (bbl),WC Bit Weight (klb),WC Torque (ft·lbf),Washout Factor (),Water Pit (bbl)
400.0,500.0,30.0,5.0,399.0,1304.0,-999.25,127.0,15075.42,221.92,150.1,18.0,0.4,0.89,87.5,73.0,0.0,49.4,145.0,-999.25,-999.25,2023-11-06 13:47:16,0.48,221.0,152.73,-999.25,0.0,645.0,0.0,-1.86,-3.29,-19.0,-32.0,177.12,-999.25,221.92,69.48,1770.0,66.0,71.0,1124.61,1087.83,167.6,1531.0,71.0,69.0,626.0,8.6,-999.25,183.1,910.92,168.0,84.0,84.0,0.0,35.0,35.0,475.0,30.0,370.0,353.0,49248.0,51.0,2110.0,1886.0,691.0,4739.0,72.0,73.0,65.0,6062.96,342.6,-999.25,0.8,0.4,15.9,274.0,30.0,0.6,-999.25,13.23,17.0,8.0,9.0,4.0,-11.36,1.0,4.58,386.0
400.0,500.0,30.0,5.0,399.0,1304.0,-999.25,127.0,1544.71,222.94,151.0,18.0,0.4,1.37,86.5,73.0,0.0,49.4,144.0,-999.25,-999.25,2023-11-06 13:59:51,0.51,222.0,271.67,-999.25,0.0,645.0,0.0,-1.86,-3.13,-19.0,-32.0,177.12,-999.25,222.94,68.27,1770.0,66.0,71.0,1495.83,1604.63,167.6,2274.0,71.0,69.0,626.0,8.6,-999.25,183.1,1037.17,168.0,84.0,84.0,0.0,512.0,512.0,495.0,30.2,4567.0,360.0,49248.0,51.0,2120.0,1895.0,691.0,4755.0,72.0,73.0,65.0,222.25,342.6,-999.25,0.8,0.4,15.9,274.0,30.2,0.4,-999.25,13.36,17.0,8.0,9.0,4.0,-10.47,0.0,4.21,386.0
400.0,500.0,30.0,5.0,399.0,1304.0,-999.25,127.0,1781.91,223.81,149.6,18.0,0.4,2.0,85.7,73.0,0.0,49.4,144.0,-999.25,-999.25,2023-11-06 13:59:58,0.49,223.0,262.02,-999.25,0.0,645.0,0.0,-2.45,-3.15,-20.0,-33.0,178.15,-999.25,223.81,68.04,1770.0,66.0,71.0,1347.01,1242.45,167.6,2140.0,71.0,69.0,625.0,8.6,-999.25,183.1,1003.42,168.0,84.0,84.0,0.0,537.0,514.0,502.0,29.9,1405.0,367.0,49248.0,51.0,2128.0,1904.0,691.0,4771.0,72.0,73.0,65.0,1822.71,342.6,-999.25,0.8,0.4,15.9,274.0,29.9,2.6,-999.25,13.3,17.0,8.0,9.0,4.0,-11.75,3.0,4.43,386.0
400.0,500.0,30.0,5.0,399.0,1304.0,-999.25,127.0,1861.74,224.91,150.6,18.0,0.4,3.11,84.6,73.0,0.0,49.4,144.0,-999.25,-999.25,2023-11-06 14:00:05,0.49,224.0,269.36,-999.25,0.0,645.0,0.0,-2.85,-2.6,-19.0,-33.0,178.15,-999.25,224.91,66.67,1770.0,66.0,71.0,1619.33,1823.93,167.6,2552.0,71.0,69.0,625.0,8.6,-999.25,183.1,1000.92,168.0,84.0,84.0,0.0,541.0,500.0,501.0,30.1,3033.0,375.0,49248.0,51.0,2139.0,1915.0,691.0,4795.0,72.0,73.0,65.0,2894.51,342.6,-999.25,0.8,0.4,15.9,274.0,30.1,4.1,-999.25,13.46,17.0,8.0,9.0,4.0,-8.58,3.0,4.15,386.0
400.0,500.0,30.0,5.0,399.0,1304.0,-999.25,127.0,1988.07,225.91,148.8,18.0,0.4,3.17,83.6,73.0,0.0,49.4,144.0,-999.25,-999.25,2023-11-06 14:00:13,0.5,225.0,293.24,-999.25,0.0,645.0,0.0,-1.88,-2.64,-20.0,-33.0,180.39,-999.25,225.91,67.11,1770.0,66.0,71.0,1410.12,1424.99,167.6,2293.0,71.0,69.0,625.0,8.6,-999.25,183.1,1035.92,168.0,84.0,84.0,0.0,450.0,450.0,494.0,29.8,5399.0,383.0,49248.0,51.0,2150.0,1926.0,691.0,4819.0,72.0,73.0,65.0,1476.4,342.6,-999.25,0.8,0.4,15.9,274.0,29.8,2.1,-999.25,13.35,17.0,8.0,9.0,4.0,-8.51,2.0,4.01,386.0
400.0,500.0,30.0,5.0,399.0,1304.0,-999.25,127.0,1874.18,226.94,149.6,18.0,0.5,1.86,82.5,73.0,0.0,49.4,144.0,-999.25,0.5,2023-11-06 14:00:20,0.5,226.0,330.21,-999.25,0.0,645.0,0.0,-1.99,-2.97,-20.0,-33.0,180.39,-999.25,226.94,65.15,1770.0,66.0,71.0,1821.93,1633.21,167.6,2967.0,70.0,69.0,625.0,8.6,-999.25,183.1,1068.42,168.0,84.0,84.0,0.0,458.0,514.0,495.0,29.9,1257.0,390.0,49248.0,51.0,2160.0,1936.0,691.0,4836.0,72.0,73.0,65.0,1806.48,342.6,-999.25,0.8,0.5,15.9,274.0,29.9,3.1,-999.25,13.48,17.0,8.0,9.0,4.0,-5.44,3.0,3.97,386.0
400.0,500.0,30.0,5.0,399.0,1304.0,-999.25,127.0,1628.15,227.93,149.7,18.0,0.5,3.05,81.5,73.0,0.0,49.4,143.0,-999.25,0.5,2023-11-06 14:00:27,0.52,227.0,273.75,-999.25,0.0,645.0,0.0,-1.1,-2.97,-20.0,-33.0,180.39,-999.25,227.93,66.6,1770.0,66.0,71.0,1618.74,1923.52,167.6,2613.0,70.0,69.0,625.0,8.6,-999.25,183.1,953.42,168.0,84.0,84.0,0.0,458.0,517.0,495.0,29.9,7986.0,397.0,49248.0,51.0,2170.0,1946.0,691.0,4859.0,72.0,73.0,65.0,963.11,342.6,-999.25,0.8,0.5,15.9,274.0,29.9,1.6,-999.25,13.55,17.0,8.0,9.0,4.0,-7.86,2.0,4.36,386.0
400.0,500.0,30.0,5.0,399.0,1304.0,-999.25,127.0,1976.14,228.92,149.8,18.0,0.5,2.21,80.5,241.0,0.0,49.4,143.0,-999.25,0.5,2023-11-06 14:00:34,0.51,228.0,332.39,-999.25,0.0,645.0,0.0,-1.91,-3.21,-20.0,-33.0,180.39,-999.25,228.92,67.15,1770.0,66.0,71.0,1649.88,1581.7,167.6,2629.0,70.0,69.0,625.0,8.6,-999.25,183.1,1084.67,168.0,84.0,84.0,0.0,550.0,514.0,514.0,30.0,2589.0,404.0,49248.0,51.0,2179.0,1956.0,691.0,4875.0,71.0,73.0,65.0,2489.79,342.6,-999.25,0.8,0.5,15.9,274.0,30.0,4.1,-999.25,13.62,17.0,8.0,9.0,4.0,-9.21,4.0,4.03,386.0
400.0,500.0,30.0,5.0,399.0,1304.0,-999.25,127.0,2503.77,229.81,149.0,18.0,0.5,3.49,79.7,241.0,0.0,49.4,143.0,-999.25,0.5,2023-11-06 14:00:41,0.5,229.0,377.22,-999.25,0.0,645.0,0.0,-1.81,-3.43,-20.0,-33.0,180.39,-999.25,229.81,66.39,1770.0,66.0,71.0,1979.28,2183.84,167.6,3135.0,70.0,69.0,625.0,8.6,-999.25,183.1,1105.92,168.0,84.0,84.0,0.0,506.0,506.0,512.0,29.8,6509.0,411.0,49248.0,51.0,2188.0,1964.0,691.0,4892.0,71.0,73.0,65.0,2520.26,342.6,-999.25,0.8,0.5,15.9,274.0,29.8,3.7,-999.25,13.61,17.0,8.0,9.0,4.0,-8.92,4.0,3.72,386.0
400.0,500.0,30.0,5.0,399.0,1304.0,-999.25,127.0,2066.33,230.92,150.1,18.0,0.5,2.95,78.5,241.0,0.0,49.4,143.0,-999.25,0.5,2023-11-06 14:00:48,0.5,230.0,307.32,-999.25,0.0,645.0,0.0,-1.47,-3.78,-21.0,-34.0,180.39,-999.25,230.92,66.85,1770.0,66.0,71.0,1755.34,1703.58,167.6,2778.0,70.0,69.0,624.0,8.6,-999.25,183.1,1110.92,168.0,84.0,84.0,0.0,486.0,476.0,502.0,30.0,2885.0,419.0,49248.0,51.0,2200.0,1977.0,691.0,4917.0,71.0,73.0,65.0,3791.91,342.6,-999.25,0.8,0.5,15.9,274.0,30.0,5.5,-999.25,13.77,17.0,8.0,9.0,4.0,-8.55,6.0,4.0,386.0
